id,code_pddikti,name,abbreviaton,country,bentuk_pendidikan,korwil_scope,lldikti_scope,website,alamat,description,sinta_score_v2_overall,sinta_score_v2_3year,sinta_score_v2_productivity_overall,sinta_score_v2_productivity_3year,sinta_score_v3_overall,sinta_score_v3_3year,sinta_score_v3_productivity_overall,sinta_score_v3_productivity_3year,province.id,province.code,province.name,city.id,city.code,city.name,pddikti_province.id,pddikti_province.name,pddikti_city.id,pddikti_city.name
27,061008,Universitas Muhammadiyah Surakarta,UMS,ID,Universitas,6,6,www.ums.ac.id,"Jl. Ahmad Yani, Tromol Pos1,  Pabelan Kartasura, Surakarta",,196526,92570,263.44,124.09,1050350.0985,516518.0255,1374.8,676.07,13,33,JAWA TENGAH,198,33.11,KAB. SUKOHARJO,030000,Prov. Jawa Tengah,031112,Kec. Kartasura
381,001038,Universitas Negeri Yogyakarta,UNY,ID,Universitas,5,,www.uny.ac.id,Kampus Karangmalang Yogyakarta,,225658,127717,189.79,107.42,1041476.8905,431139.1045,760.76,314.93,14,34,DAERAH ISTIMEWA YOGYAKARTA,226,34.04,KAB. SLEMAN,040000,Prov. D.I. Yogyakarta,040200,Kab. Sleman
403,071004,Universitas Surabaya,UBAYA,ID,Universitas,7,7,www.ubaya.ac.id,Jalan Ngagel Jaya Selatan 169 Surabaya,,89236,28782,248.57,80.17,994432.7305,540540.5395,2933.43,1594.51,15,35,JAWA TIMUR,264,35.78,KOTA SURABAYA,050000,Prov. Jawa Timur,056010,Kec. Gubeng
439,001010,Universitas Lambung Mangkurat,ULM,ID,Universitas,,,http://www.ulm.ac.id,Jalan Brigjen H Hasan Basri,"Universitas Lambung Mangkurat adalah Universitas tertua di Kalimantan. Universitas ini berdiri pada tanggal 21 September 1958, namun baru bisa diresmikan pada tanggal 1 November 1960 dan berdiri sampai dengan sekarang. Lokasi kampus sempat berpindah-pindah tempat, sekarang kampus utama berada di Banjarmasin. Dikarenakan lokasi di Banjarmasin tidak memungkinkan lagi untuk didirikan beberapa fakultas, maka di didirikan pula beberapa Fakultas lain tersebut di Banjarbaru. Namun Rektorat tetap berada di Banjarmasin. Rektor Universitas Lambung Mangkurat pada periode tahun 2022-2026 adalah Prof. Dr. Ahmad, S.E., M.Sc. Nama universitas ini diambil dari nama Lambung Mangkurat, seorang patih Kerajaan Negara Dipa yang tidak bisa dipisahkan dari sejarah Kerajaan Banjar di Kalimantan Selatan.",137859,66014,113.28,54.24,937372.4455,372284.171,770.87,306.15,22,63,KALIMANTAN SELATAN,354,63.71,KOTA BANJARMASIN,150000,Prov. Kalimantan Selatan,156004,Kec. Banjarmasin Utara
388,031038,Universitas Bina Nusantara,BINUS,ID,Universitas,3,3,www.binus.ac.id,Jl KH Syahdan No 9 Palmerah,,324828,144724,207.16,92.3,937096.334,431804.103,573.5,264.26,11,31,DKI JAKARTA,158,31.73,KOTA ADM. JAKARTA BARAT,010000,Prov. D.K.I. Jakarta,016200,Kota Jakarta Barat
499,001039,Universitas Negeri Surabaya,Unesa,ID,Universitas,,,www.unesa.ac.id,Jalan Ketintang,,164990,94312,151.23,86.45,910589.5075,431211.1895,623.69,295.35,15,35,JAWA TIMUR,264,35.78,KOTA SURABAYA,050000,Prov. Jawa Timur,056000,Kota Surabaya
406,001025,Universitas Jember,UNEJ,ID,Universitas,,,www.unej.ac.id,Jalan Kalimantan No 37 Kampus Tegalboto,,242769,113306,201.47,94.03,903187.179,375463.3305,673.52,279.99,15,35,JAWA TIMUR,236,35.09,KAB. JEMBER,050000,Prov. Jawa Timur,052430,Kec. Sumbersari
435,001037,Universitas Negeri Jakarta,UNJ,ID,Universitas,,,www.unj.ac.id,Jalan Rawamangun Muka,"Setelah Indonesia merdeka, pemerintah Indonesia merasakan kurangnya tenaga kependidikan di semua jenjang dan jenis lembaga pendidikan. Untuk mengatasi masalah ini pemerintah mendirikan berbagai kursus pendidikan guru. Sekitar tahun 1950-an, pada jenjang di atas pendidikan menengah didirikan B-I, B-II, dan PGSLP yang bertugas menyiapkan guru-guru untuk sekolah lanjutan.    Usaha-usaha untuk meningkatkan mutu dan jumlah guru terus dilakukan melalui pendirian Perguruan Tinggi Pendidikan Guru (PTPG) oleh pemerintah melalui Keputusan Menteri P dan K No. 382/Kab tahun 1954. PTPG ini didirikan di empat kota yakni Batusangkar, Manado, Bandung, dan Malang. Dengan demikian terdapat dua macam lembaga pendidikan yang menghasilkan tenaga guru, yaitu Kursus B-I/B-II/PGSLP dan PTPG. Kedua lembaga ini kemudian diintegrasikan menjadi satu lembaga pendidikan melalui berbagai tahap. Pada tahun 1957, PTPG diintegrasikan ke dalam Fakultas Keguruan dan Ilmu Pendidikan pada universitas terdekat.    Berdasarkan PP No. 51 tahun 1958 Fakultas Pedagogik diintegrasikan ke dalam FKIP. Pada tahun 1963, oleh Kementerian Pendidikan Dasar didirikan Institut Pendidikan Guru (IPG) untuk menghasilkan guru sekolah menengah; sementara berdasarkan Keputusan Menteri P dan K No. 6 dan 7, tanggal 8 Pebruari 1961 Kursus B-I dan B-II diintegrasikan ke dalam FKIP (Fakultas Keguruan dan Ilmu Pendidikan) di bawah Kementerian Pendidikan Tinggi yang juga menghasilkan guru sekolah menengah. Dualisme ini dirasakan kurang efektif dan mengganggu manajemen pendidikan guru. Untuk mengatasi ini maka kursus B-I dan B-II di Jakarta diintegrasikan ke dalam FKIP Universitas Indonesia.    Melalui Keputusan Presiden RI No. 1 tahun 1963 tanggal 3 Januari 1963, ditetapkan integrasi sistem kelembagaan pendidikan guru. Salah satu butir pernyataan Keppres tersebut adalah bahwa surat keputusan ini berlaku sejak 16 Mei 1964, yang kemudian dinyatakan sebagai hari lahirnya IKIP Jakarta. FKIP dan IPG diubah menjadi IKIP (Institut Keguruan dan Ilmu Pendidikan). FKIP Universitas Indonesia dan IPG Jakarta diintegrasikan menjadi IKIP Jakarta. Dalam perkembangan selanjutnya IKIP diberi perluasan mandat untuk mengembangkan ilmu kependidikan dan non kependidikan dalam wadah universitas. IKIP Jakarta sejak tanggal 4 Agustus 1999 berubah menjadi Universitas Negeri Jakarta (UNJ) berdasarkan Keppres 093/1999 tanggal 4 Agustus 1999, dan peresmiannya dilaksanakan oleh Presiden Republik Indonesia pada tanggal 31 Agustus 1999 di Istana Negara.    Hari jadi Universitas Negeri Jakarta ditetapkan sama dengan hari jadi Institut Keguruan dan Ilmu Pendidikan (IKIP) Jakarta yang merupakan cikal bakal Universitas Negeri Jakarta yaitu pada tanggal 16 Mei 1964.",166113,110474,179.58,119.43,887318.317,404162.0875,802.28,365.43,11,31,DKI JAKARTA,160,31.75,KOTA ADM. JAKARTA TIMUR,010000,Prov. D.K.I. Jakarta,016409,Kec. Pulo Gadung
436,001036,Universitas Negeri Makassar,UNM,ID,Universitas,9,,www.unm.ac.id,Jalan A P Pettarani Gunungsari,,127703,65829,119.8,61.75,879238.25,461771.2885,710.78,373.3,27,73,SULAWESI SELATAN,420,73.71,KOTA MAKASSAR,190000,Prov. Sulawesi Selatan,196013,Kec. Rappocini
415,001017,Universitas Riau,UNRI,ID,Universitas,10,,www.unri.ac.id,Kampus Bina Widya Simpang Baru,"Universitas Riau, disingkat UNRI, adalah perguruan tinggi negeri di Pekanbaru, Indonesia, yang berdiri pada 25 September 1962. Rektor saat ini adalah Prof. Dr. Sri Indarti, M.Si    Bermula dari keinginan masyarakat dan pemerintah daerah Riau untuk memiliki Perguruan Tinggi Negeri. Keinginan ini diwujudkan dengan membentuk Panitia Persiapan Perguruan Tinggi Riau (P3TR) di Tanjungpinang. Namun setelah ibukota Provinsi Riau pindah ke Pekanbaru, maka Panitia ini dipindahkan ke kota ini. Di antara pelopor pendirian itu ialah Kolonel Kaharuddin Nasution, Datuk Wan Abdurrahman, Soesman Hs. dan Drs. Sutan Balia.",204394,86793,176.51,74.95,879123.3945,308037.298,677.81,237.5,4,14,RIAU,86,14.71,KOTA PEKANBARU,090000,Prov. Riau,096000,Kota Pekanbaru
